,time,datetime,temperature_2m
235,1610305200000,2021-01-10 19:00:00,-3.3642639160156023
236,1610308800000,2021-01-10 20:00:00,-4.100256347656227
237,1610312400000,2021-01-10 21:00:00,-3.9193328857421648
238,1610316000000,2021-01-10 22:00:00,-3.9314331054687273
239,1610319600000,2021-01-10 23:00:00,-4.140997314453102
240,1610323200000,2021-01-11 00:00:00,-3.3014282226562273
241,1610326800000,2021-01-11 01:00:00,-2.9237274169921648
242,1610330400000,2021-01-11 02:00:00,-3.1360534667968523
243,1610334000000,2021-01-11 03:00:00,-3.2597106933593523
244,1610337600000,2021-01-11 04:00:00,-3.4885620117187273
245,1610341200000,2021-01-11 05:00:00,-3.7319854736327898
246,1610344800000,2021-01-11 06:00:00,-3.9989990234374773
247,1610348400000,2021-01-11 07:00:00,-4.627508544921852
248,1610352000000,2021-01-11 08:00:00,-5.542761230468727
249,1610355600000,2021-01-11 09:00:00,-3.7917083740234148
250,1610359200000,2021-01-11 10:00:00,-1.9918273925781023
251,1610362800000,2021-01-11 11:00:00,-2.1671051025390398
252,1610366400000,2021-01-11 12:00:00,0.06571350097658524
253,1610370000000,2021-01-11 13:00:00,0.41724548339846024
254,1610373600000,2021-01-11 14:00:00,0.43244323730471024
255,1610377200000,2021-01-11 15:00:00,-0.47243347167966476
256,1610380800000,2021-01-11 16:00:00,-1.7791351318359148
257,1610384400000,2021-01-11 17:00:00,-2.3663696289062273
258,1610388000000,2021-01-11 18:00:00,-2.3787139892577898
259,1610391600000,2021-01-11 19:00:00,-2.2330993652343523
260,1610395200000,2021-01-11 20:00:00,-2.1795562744140398
261,1610398800000,2021-01-11 21:00:00,-1.7314361572265398
262,1610402400000,2021-01-11 22:00:00,-1.1185211181640398
263,1610406000000,2021-01-11 23:00:00,-0.47351684570310226
264,1610409600000,2021-01-12 00:00:00,0.08533630371096024
265,1610413200000,2021-01-12 01:00:00,0.36858520507814774
266,1610416800000,2021-01-12 02:00:00,0.7596069335937727
267,1610420400000,2021-01-12 03:00:00,0.9173675537109602
268,1610424000000,2021-01-12 04:00:00,1.1222015380859602
269,1610427600000,2021-01-12 05:00:00,1.2556091308593977
270,1610431200000,2021-01-12 06:00:00,1.4088989257812727
271,1610434800000,2021-01-12 07:00:00,1.2890563964843977
272,1610438400000,2021-01-12 08:00:00,1.3215118408203352
