FID;GW_NUMMER;NAME;RECHTSWERT;HOCHWERT;GEMEINDE_K;AQUIFER_KZ;EINZUGSGEB;HYDROGEOLE;HYDROGEOL2;MESSNETZ1_;MESSNETZ2_;GEMEINDE;AQUIFER;EINZUGSGE2;HYDROGEOL3;MESSNETZ1;MESSNETZ2;RASTERVALU
982;160/223-0;G 67 KW KOBLENZ KADELBURG GEM.KADELB;3445775,000000000000000;5275690,000000000000000;8337125,000000000000000;97,000000000000000;2197900000,000000000000000;3,000000000000000;243,000000000000000; ; ;KÜSSABERG;NOCH NICHT BEARBEITET;Rhein unterh. Hinterbach oberh. Wutach;Quartäre Kiese und Sande (GWL); ;#800000000001;211
983;160/260-1;GWM 1557, OBERWEIER;3453653,000000000000000;5419630,000000000000000;8215017,000000000000000;97,000000000000000;2374760000,000000000000000;3,000000000000000;8,000000000000000; ; ;ETTLINGEN, STADT;NOCH NICHT BEARBEITET;Malscher Landgraben;Quartäre Kiese und Sande (GWL); ;#800000000001;121
984;160/307-1;WAGHAEUSEL F;3465250,000000000000000;5457010,000000000000000;8215106,000000000000000;97,000000000000000;2377800000,000000000000000;3,000000000000000;8,000000000000000; ; ;WAGHÄUSEL, STADT;NOCH NICHT BEARBEITET;Kriegbach;Quartäre Kiese und Sande (GWL); ;#800000000001;313
985;160/308-3;GWM F, NEUTHARD;3464650,000000000000000;5444380,000000000000000;8215103,000000000000000;97,000000000000000;2376900000,000000000000000;3,000000000000000;8,000000000000000; ; ;KARLSDORF-NEUTHARD;NOCH NICHT BEARBEITET;Pfinz unterhalb von Bocksbach;Quartäre Kiese und Sande (GWL); ;#800000000001;211
986;160/559-1;QF REBERWIESENQ., SULZBACH;3535015,000000000000000;5433170,000000000000000;8119075,000000000000000;51,000000000000000;2383818000,000000000000000;25,000000000000000;14,000000000000000; ; ;SULZBACH AN DER MURR;HÖHERER KEUPER (KEUPERBERGLAND);Fischbach;Mittelkeuper und Oberkeuper (GWL);#800000000012; ;311
987;160/621-3;QF LOCHERHOF  OST, HORGENZEL;3538000,000000000000000;5298650,000000000000000;8436095,000000000000000;22,000000000000000;2154560000,000000000000000;2,000000000000000;2,000000000000000; ; ;HORGENZELL;TERTIÄR (ALBSÜDRAND UND ALPENVORLAND);Ettishofer Ach;Quartäre Becken- und Moränensedimente (GWG);#800000000005; ;211
988;160/770-4;GWM 1/77, RIEDEN-AICHSTETTEN;3580570,000000000000000;5307750,000000000000000;8436003,000000000000000;5,000000000000000;1146900000,000000000000000;3,000000000000000;171,000000000000000; ; ;AICHSTETTEN;QUARTÄR EISZEITL.KIESE+SANDE (ALBSÜDRAND, ALPENV.);Aitrach unterhalb von Eschach;Quartäre Kiese und Sande (GWL);#800000000012;#800000000001;231
989;161/074-8;GWM 108 DEGUSSA, RHEINFELDEN;3410247,000000000000000;5271262,000000000000000;8336069,000000000000000;2,000000000000000;2315500000,000000000000000;3,000000000000000;243,000000000000000; ; ;RHEINFELDEN (BADEN), STADT;QUARTÄR TALFÜLLUNGEN;Rhein unterh. Möhlinbach oberh. Dürrenbach;Quartäre Kiese und Sande (GWL);#800000000011; ;121
990;161/308-8;GWM T VOLKSSCHULE, NEUTHARD;3465420,000000000000000;5443340,000000000000000;8215103,000000000000000;9,000000000000000;2375420000,000000000000000;3,000000000000000;8,000000000000000; ; ;KARLSDORF-NEUTHARD;(TIEF) QUARTÄR MITTL.U.UNT.GW-LEITER (OBERRHEINGR.);Pfinzkorrektion;Quartäre Kiese und Sande (GWL);#800000000013;#800000000001;231
991;161/621-9;BR GWZ WEINGARTEN, WEINGART.;3547520,000000000000000;5297500,000000000000000;8436082,000000000000000;5,000000000000000;2154710000,000000000000000;2,000000000000000;2,000000000000000; ; ;WEINGARTEN, STADT;QUARTÄR EISZEITL.KIESE+SANDE (ALBSÜDRAND, ALPENV.);Schussen unterh. Wolfegger Ach oberh. Scherzach;Quartäre Becken- und Moränensedimente (GWG);#800000000013; ;112
