Datetime[UTC],BLM-1[m],Baro[m]
27/06/2009 16:30,5.14263129,9.56142307
27/06/2009 16:45,5.14289073,9.56158322
27/06/2009 17:00,5.14479892,9.56075013
27/06/2009 17:15,5.14535858,9.56071944
27/06/2009 17:30,5.14519897,9.56019833
27/06/2009 17:45,5.14533467,9.55909723
27/06/2009 18:00,5.14513781,9.55816621
27/06/2009 18:15,5.14364796,9.55751651
27/06/2009 18:30,5.14408458,9.55491101
27/06/2009 18:45,5.14233037,9.55477826
27/06/2009 19:00,5.14173626,9.55381821
27/06/2009 19:15,5.13998557,9.55190226
27/06/2009 19:30,5.13865392,9.54994317
27/06/2009 19:45,5.13668738,9.54969257
27/06/2009 20:00,5.13476232,9.5472016
27/06/2009 20:15,5.1332092,9.54536614
27/06/2009 20:30,5.13084049,9.54365681
27/06/2009 20:45,5.12961008,9.54243373
27/06/2009 21:00,5.12808087,9.54157407
27/06/2009 21:15,5.12346931,9.54006805
27/06/2009 21:30,5.1225124,9.53818446
27/06/2009 21:45,5.12158151,9.53669253
27/06/2009 22:00,5.11879376,9.53513337
27/06/2009 22:15,5.11766109,9.53365639
27/06/2009 22:30,5.11782209,9.53080611
27/06/2009 22:45,5.1173447,9.53058457
27/06/2009 23:00,5.11674637,9.52801393
27/06/2009 23:15,5.11698542,9.52670123
27/06/2009 23:30,5.11873752,9.52378873
27/06/2009 23:45,5.1204861,9.52272247
28/06/2009 00:00,5.12100287,9.52087539
28/06/2009 00:15,5.12420544,9.51850142
28/06/2009 00:30,5.12654813,9.51758286
28/06/2009 00:45,5.12925221,9.5153657
28/06/2009 01:00,5.13153795,9.51589842
28/06/2009 01:15,5.13420126,9.51659211
28/06/2009 01:30,5.13795997,9.51582622
28/06/2009 01:45,5.13986815,9.5155217
28/06/2009 02:00,5.1434286,9.51555986
28/06/2009 02:15,5.1473448,9.51490185
28/06/2009 02:30,5.15145717,9.51513917
28/06/2009 02:45,5.15466115,9.51422394
